,size,Python,1,2,3,4,5,6
0,100000,6.909644842147827,10.873008012771606,6.869638919830322,5.921837091445923,5.413907051086426,5.323188781738281,5.177478075027466
1,200000,17.060078144073483,23.48749017715454,16.658451318740845,14.263845205307007,13.061275959014893,12.427648067474365,12.132272005081177
2,300000,26.789638996124268,35.73987102508545,25.314345836639404,21.532273292541504,19.48270297050476,18.318197011947632,17.8661949634552
3,400000,39.058423042297356,53.31289792060852,35.80503702163696,29.839241981506348,27.48708200454712,25.492579221725464,24.548126220703125
4,500000,65.98863911628722,72.87214708328247,51.80382990837097,42.37992787361145,37.91481900215149,35.195523262023926,34.30122494697571
5,600000,72.77660703659058,92.77112793922424,60.71161913871765,50.07953119277954,44.45691800117493,43.340883016586304,38.69196105003357
6,700000,91.84878206253052,113.2180552482605,73.62824416160583,59.891560792922974,55.52747321128845,48.16842079162598,45.861825942993164
7,800000,101.6704168319702,131.70847296714783,86.99804496765137,72.5243866443634,61.400615215301514,59.561240911483765,53.42683482170105
8,900000,117.06575226783752,153.67857885360718,103.30672979354858,80.91528391838074,72.44891476631165,66.24233388900757,61.11932182312012
9,1000000,135.83092784881592,188.58551621437073,131.3851020336151,111.00322723388672,100.42920088768005,96.80092906951904,93.65849709510803
