epoch,loss,accuracy,recall,precision,f1,val_loss,val_accuracy,val_recall,val_precision,val_f1
1,0.5491,0.7376,0.7344,0.7394,0.736891519,0.5104,0.7577,0.79,0.6465,0.711082492
2,0.4907,0.7747,0.781,0.7717,0.776322149,0.4979,0.7674,0.8133,0.6544,0.725248375
3,0.4728,0.7854,0.7898,0.7835,0.786637386,0.4734,0.7852,0.7746,0.6932,0.731642894
4,0.4613,0.7925,0.7959,0.7907,0.793291479,0.4719,0.788,0.797,0.6904,0.739880059
5,0.4536,0.797,0.8006,0.7954,0.797991529,0.4567,0.7947,0.7675,0.7116,0.738493679
6,0.4473,0.8,0.8027,0.7985,0.800594492,0.4587,0.794,0.7861,0.7028,0.742119793
7,0.442,0.8025,0.8049,0.8014,0.803146187,0.465,0.7899,0.8164,0.687,0.746131169
8,0.4379,0.805,0.8084,0.803,0.805690952,0.4535,0.797,0.7938,0.7061,0.747386066
9,0.4341,0.807,0.8091,0.8059,0.80749683,0.4562,0.7948,0.8051,0.6979,0.747677033
10,0.4308,0.8087,0.8108,0.8073,0.809046215,0.4483,0.7983,0.782,0.7125,0.745633991
11,0.4279,0.8101,0.813,0.8085,0.810743756,0.451,0.7978,0.8013,0.704,0.749505348
12,0.4251,0.8114,0.8138,0.8099,0.811845316,0.4476,0.7993,0.8005,0.7067,0.750681197
13,0.4226,0.8124,0.8149,0.8109,0.812895079,0.4505,0.7973,0.8052,0.7019,0.750009794
14,0.4202,0.8139,0.8155,0.8128,0.814147761,0.4508,0.7964,0.8133,0.698,0.75125177
15,0.4184,0.8144,0.8165,0.8132,0.814846659,0.4506,0.7969,0.8125,0.6987,0.75131518
16,0.4163,0.8159,0.8181,0.8151,0.816597245,0.444,0.801,0.7951,0.7119,0.751203305
17,0.4146,0.8161,0.8177,0.8151,0.81639793,0.4513,0.7959,0.8202,0.6945,0.752134284
18,0.4128,0.8172,0.8193,0.8161,0.817696869,0.4431,0.8027,0.7952,0.7147,0.75280408
19,0.4112,0.8181,0.82,0.8171,0.818547431,0.4476,0.7981,0.8116,0.7009,0.752198929
20,0.4098,0.8193,0.8209,0.8186,0.819748387,0.4407,0.8025,0.7925,0.7154,0.751978911
21,0.4083,0.8194,0.8209,0.8186,0.819748387,0.4411,0.8033,0.7972,0.7145,0.753587881
22,0.4069,0.8209,0.8226,0.8202,0.821398247,0.44,0.8039,0.797,0.7167,0.75472009
23,0.4056,0.8215,0.8236,0.8203,0.821946688,0.4389,0.8047,0.7968,0.7173,0.754962869
24,0.4041,0.822,0.8236,0.821,0.822297945,0.4428,0.8008,0.8061,0.7076,0.753645187
25,0.4031,0.8226,0.8242,0.8222,0.823198785,0.4486,0.798,0.8231,0.6969,0.754761039
