epoch,loss,accuracy,recall,precision,f1,val_loss,val_accuracy,val_recall,val_precision,val_f1
1,0.7522,0.6159,0.5401,0.6574,0.593004994,0.6048,0.6934,0.6788,0.7022,0.690301752
2,0.5512,0.7472,0.7055,0.7702,0.73643166,0.5336,0.757,0.6711,0.8132,0.735348002
3,0.5043,0.7856,0.7361,0.8181,0.774936829,0.5115,0.7769,0.7172,0.8162,0.763504161
4,0.485,0.8003,0.752,0.8329,0.790385261,0.502,0.789,0.7345,0.8263,0.777700346
5,0.4726,0.8085,0.7597,0.8427,0.799050412,0.4961,0.7884,0.7496,0.8155,0.781162609
6,0.4626,0.8147,0.7676,0.8483,0.805934872,0.4932,0.7906,0.7086,0.8499,0.772844581
7,0.4549,0.8178,0.7719,0.8509,0.809477089,0.4883,0.7953,0.7542,0.8237,0.787419406
8,0.4481,0.8231,0.7798,0.8545,0.81544282,0.4852,0.7971,0.7424,0.836,0.786424734
9,0.442,0.8286,0.7867,0.8588,0.821170416,0.4809,0.8003,0.746,0.8398,0.790125867
10,0.4361,0.8309,0.7893,0.8599,0.823088855,0.4796,0.7992,0.7571,0.8297,0.791739186
11,0.431,0.8326,0.7918,0.8623,0.825547597,0.4828,0.7974,0.7356,0.8418,0.78512499
12,0.4266,0.8356,0.7964,0.8645,0.829053886,0.4789,0.8014,0.7492,0.8389,0.791516756
13,0.4224,0.8378,0.7985,0.8666,0.831157408,0.4791,0.7991,0.7517,0.8322,0.789904337
14,0.4185,0.8401,0.8033,0.8675,0.834166567,0.4786,0.8014,0.7668,0.8259,0.795253494
15,0.4151,0.8403,0.8054,0.8666,0.834879952,0.4761,0.7994,0.7652,0.8232,0.793141073
16,0.4122,0.843,0.8106,0.8672,0.837945309,0.4807,0.8003,0.7461,0.8383,0.789517331
17,0.4091,0.8436,0.8097,0.8696,0.838581695,0.4756,0.8005,0.7458,0.8384,0.789393662
18,0.4065,0.8452,0.8126,0.8695,0.840087629,0.4786,0.7996,0.7576,0.8291,0.791739031
19,0.4039,0.846,0.8139,0.8697,0.840875303,0.4769,0.8,0.7643,0.8246,0.793305784
20,0.4015,0.8469,0.8162,0.8696,0.842054241,0.4799,0.8027,0.7576,0.8341,0.794011635
21,0.3992,0.8484,0.8191,0.87,0.84378308,0.4786,0.801,0.7389,0.8452,0.788483404
22,0.3971,0.849,0.8186,0.8711,0.844034397,0.4769,0.8023,0.7533,0.8371,0.792992241
23,0.395,0.8492,0.8191,0.8725,0.844957141,0.4801,0.8016,0.7733,0.8213,0.796577562
24,0.3934,0.8516,0.8233,0.8729,0.847374802,0.4758,0.8063,0.7558,0.8426,0.796843193
25,0.3918,0.8508,0.8228,0.8723,0.846827255,0.4777,0.8048,0.7717,0.8293,0.799463848
